school,year,sport,previous_year_rank,record_wins,record_losses,conference_champion,national_champion,application_change,acceptance_rate
kentucky,2015,Basketball,,,,,,,
kentucky,2016,Basketball,,,,,,,
kentucky,2017,Basketball,,,,,,,
kentucky,2018,Basketball,,,,,,,
kansas,2008,Basketball,,,,,,,
kansas,2009,Basketball,,,,,,,
kansas,2010,Basketball,,,,,,,
kansas,2011,Basketball,,,,,,,
kansas,2012,Basketball,,,,,,,
kansas,2013,Basketball,,,,,,,
kansas,2014,Basketball,,,,,,,
kansas,2015,Basketball,,,,,,,
kansas,2016,Basketball,,,,,,,
kansas,2017,Basketball,,,,,,,
kansas,2018,Basketball,,,,,,,
unc,2008,Basketball,,,,,,,
unc,2009,Basketball,,,,,,,
unc,2010,Basketball,,,,,,,
unc,2011,Basketball,,,,,,,
unc,2012,Basketball,,,,,,,
unc,2013,Basketball,,,,,,,
unc,2014,Basketball,,,,,,,
unc,2015,Basketball,,,,,,,
unc,2016,Basketball,,,,,,,
unc,2017,Basketball,,,,,,,
unc,2018,Basketball,,,,,,,
duke,2008,Basketball,,,,,,,
duke,2009,Basketball,,,,,,,
duke,2010,Basketball,,,,,,,
duke,2011,Basketball,,,,,,,
duke,2012,Basketball,,,,,,,
duke,2013,Basketball,,,,,,,
duke,2014,Basketball,,,,,,,
duke,2015,Basketball,,,,,,,
duke,2016,Basketball,,,,,,,
duke,2017,Basketball,,,,,,,
duke,2018,Basketball,,,,,,,
george_mason,2001,Basketball,,,,,,,
george_mason,2002,Basketball,,,,,,,
george_mason,2003,Basketball,,,,,,,
george_mason,2004,Basketball,,,,,,,
george_mason,2005,Basketball,,,,,,,
george_mason,2006,Basketball,,,,,,,
george_mason,2007,Basketball,,,,,,,
george_mason,2008,Basketball,,,,,,,
george_mason,2009,Basketball,,,,,,,
george_mason,2010,Basketball,,,,,,,
george_mason,2011,Basketball,,,,,,,
butler,2006,Basketball,,,,,,,
butler,2007,Basketball,,,,,,,
butler,2008,Basketball,,,,,,,
butler,2009,Basketball,,,,,,,
butler,2010,Basketball,,,,,,,
butler,2011,Basketball,,,,,,,
butler,2012,Basketball,,,,,,,
butler,2013,Basketball,,,,,,,
butler,2014,Basketball,,,,,,,
butler,2015,Basketball,,,,,,,
butler,2016,Basketball,,,,,,,
VCU,2006,Basketball,,,,,,,
VCU,2007,Basketball,,,,,,,
VCU,2008,Basketball,,,,,,,
VCU,2009,Basketball,,,,,,,
VCU,2010,Basketball,,,,,,,
VCU,2011,Basketball,,,,,,,
VCU,2012,Basketball,,,,,,,
VCU,2013,Basketball,,,,,,,
VCU,2014,Basketball,,,,,,,
VCU,2015,Basketball,,,,,,,
VCU,2016,Basketball,,,,,,,
